Number of points,Value of pi,X COM,Y COM,Z COM
35,3.2282581140739497,0.012676822175355009,0.01360529086993832,0.020067020767417995
36,3.1787196263899506,-0.003508374780471819,0.004884168117931044,0.004608500163359582
37,3.1333093460129517,0.03032083224859659,-0.013704470698416885,-0.01099168677495733
38,3.2203457167355336,0.0017360001322226136,0.0023103816167960047,0.013977967666779709
39,3.3073820874581155,-0.03720252039735948,-0.007072336562480502,0.007854256604248664
40,3.2586417198534696,-0.03634162007720847,0.023810617697479292,-0.01343643635304784
41,3.213650611295335,-0.019777280999136473,0.017090922512923688,-0.0003809564049857618
42,3.2939918765777185,-0.009631060309464536,0.008135781011415525,0.03756991997278344
43,3.2493578403097274,-0.002854028374529433,0.0032625937564109103,0.006748307299935717
44,3.2079119494894504,-0.0021187120488307377,-0.019694470320710148,-0.0074727899216969935
45,3.1693243959671236,0.017868228924074046,-0.015541333070750804,0.012775511086546275
46,3.1333093460129513,0.012674634108385083,-0.0016181098786081408,0.012326848225351263
47,3.2029384425910172,0.008091217653723547,0.015800138297359875,-0.01890705607829964
48,3.167000844357177,-0.0025635509970719666,0.008526359296979933,-0.01687183702327923
49,3.1333093460129513,0.0061045585433180385,-0.006870260327738587,-0.013972815453432473
50,3.101659756659285,-0.023840204838127578,-0.004226461129440855,-0.013726930882136834
51,3.0718719078558343,-0.02282893817235229,-0.0007338560398655156,0.007998982486768154
52,3.0437862218411524,-0.016330935617770968,0.0019225449862878227,0.006359419846559082
53,3.1034683046223517,-0.005931999714933648,-0.008501776803449336,-0.019781828511723828
54,3.0752850988645632,-0.005381252646210671,-0.007454704107770349,-0.018461222254485765
55,3.0486253096342226,0.0010657701081467665,-0.007357138995755945,0.006178639917675137
56,3.0233686672054794,-0.011855275807498416,0.00783979584269306,0.005650626169447552
57,2.999407237208979,-0.004015356535607209,-0.0015645374449007336,-0.00892754165225706
58,2.9766438787123035,0.010193213504671565,-0.0005280543347648128,-0.0010903510373129937
59,3.0288657011458526,-0.012273354606149993,0.00028913095761000444,0.010951948760976413
60,3.0059390473945387,-0.007948765032653312,-0.011046003435479504,0.004330520449673364
61,3.0568871668419035,0.0020730838895230055,0.010065482616387712,-0.004327098175604433
62,3.033839208044286,-0.01310753912682325,0.006278348725067932,-0.002985584589524875
63,3.0835742770286187,-0.011334595754963794,-0.01908100485213691,0.0026202327327525914
64,3.0604416868033475,0.005001871161035771,-0.012539005870526117,-0.0006168543743876134
65,3.0383605779519525,0.002979222794628769,-0.008025350334312063,0.004318213033398085
66,3.017260851716175,-0.004204208407393357,-0.004325389882726331,0.0041704947186751605
67,2.9970785048819533,0.007206112939460149,-0.001175155436624372,0.0025760299159384827
68,3.0424887852589526,-0.008970570985261635,0.010128196128819697,-0.011545388123912141
69,3.022199085516038,0.003923696131438286,-0.002596228807491582,-0.003188357031332995
70,3.0666431897148034,-0.0018822771979754912,0.015821071831614058,0.011171282470785327
71,3.0462729752903694,-1.360069365590595e-05,0.0038125474436852334,0.007814843392035776
72,3.0267341981893816,0.00043599187149103997,0.002186640984487456,0.005025965891943158
73,3.0693642573188096,-0.0075860149134176,-0.014307978940458713,-0.009045830557308397
74,3.0497544301192727,0.000490215606657086,-0.008456439796831944,0.0014911779685647416
75,3.0309136157510905,-0.007389241816470789,0.0024456439535168874,-0.0033893497084028514
76,3.0127974480893767,-0.0044510853852708625,-0.0017172961847342842,0.008287602280178502
77,2.995364909396029,-0.0009543884654906958,-0.000997430830628513,0.0004292509344481582
78,2.978578020283917,0.009727921957467774,0.006051039950042101,-0.013375098007170587
79,2.962401563503154,-0.004943128077668355,-0.0031807652621567433,-0.011673213711998276
80,3.0003810707275536,-0.0031181313289577084,0.002036993615036187,0.00739733170943622
81,2.9841041390599536,0.002018498587730599,0.0011713903846519336,-0.0013050033185819736
82,3.0214054407982034,-0.011091356149469375,-0.0032068572994739843,0.013341454227572186
83,3.0050452207375677,-0.007778770274609453,0.00679630612329717,0.006940337123467479
84,2.989249146196264,-0.0030061491017517017,-0.0010216032020079783,0.0014331846291147623
85,3.025264196150436,0.01364152850869723,0.004067348832306442,-0.004092868299923263
86,3.0093931571875805,0.008074789775069074,0.0005560124451325888,0.0034397417734175683
87,2.9940511528568203,0.008043436922975463,-0.011766676314162177,-0.0066639276845181505
88,2.9792121650614947,0.005813575818889086,-0.009955616709447966,0.0019704249648030414
89,3.0134559830507075,-0.004249619323115836,0.004596677481327486,0.0017900680171584094
90,2.9985433526360503,-0.001223590618763286,-0.011174941830784378,-0.003095978290691248
91,2.9841041390599536,0.0035603857887106637,0.003070549101035145,-0.001559232024198087
92,2.9701161509081104,-0.0015752917770958325,-0.00847283222375161,0.008836931665518083
