Number of points,Value of pi,,Mean,Std. Dev.
349,3.01629779367222,,,
196,3.01726085171618,,,
287,3.01726085171618,,,
303,3.01837136362332,,,
212,3.0188505571175,,,
358,3.01914017955904,,,
306,3.01946082317204,,,
293,3.01955884170225,,,
280,3.01966600185704,,,
361,3.02005720097634,,,
296,3.0206740427249,,,
283,3.02083157461761,,,
364,3.02095960850651,,,
299,3.02176758935877,,,
367,3.02184774872395,,,
218,3.02190279148805,,,
286,3.0219734809262,,,
205,3.02219908551604,,,
302,3.02284010624967,,,
289,3.02309243434415,,,
208,3.02375307517334,,,
360,3.02381197639422,,,
305,3.02389219424742,,,
292,3.0241891200324,,,
279,3.02451388260972,,,
363,3.02468795535117,,,
211,3.02526419615044,,,
366,3.02555002988023,,,
298,3.02631829517348,,,
369,3.02639852843246,,,
285,3.02673419818938,,,
201,3.02735202513329,,,
301,3.02735202513329,,,
288,3.02781071483406,,,
217,3.02816473708634,,,
362,3.02844624875683,,,
204,3.02886570114585,,,
291,3.02886570114585,,,
365,3.02928181128477,,,
278,3.02941252651165,,,
368,3.03010416333795,,,
207,3.0303367383975,,,
297,3.03091361575109,,,
210,3.03176691350327,,,
300,3.0319077490546,,,
197,3.03273398428908,,,
213,3.03315790572943,,,
274,3.03331011156573,,,
290,3.03358928307452,,,
200,3.0342022377449,,,
277,3.03436273508623,,,
216,3.0345113035711,,,
370,3.03462243747711,,,
232,3.03477760557229,,,
203,3.03562823930272,,,
219,3.03582861080366,,,
206,3.03701378691563,,,
622,3.037915853043,,,
209,3.03836057795195,,,
225,3.03836057795195,,,
273,3.03836057795195,,,
276,3.03936532682032,,,
228,3.03957786985017,,,
621,3.0401436534085,,,
231,3.04076434423198,,,
215,3.04094421789919,,,
199,3.04115318877728,,,
234,3.04192115675424,,,
620,3.04238193754042,,,
202,3.04248878525895,,,
623,3.04280782704146,,,
371,3.04284634652176,,,
272,3.04346535042835,,,
374,3.04355308870529,,,
393,3.04400808831989,,,
275,3.04442113761542,,,
224,3.044566379786,,,
619,3.04463077961636,,,
227,3.04571145031797,,,
230,3.04682734707841,,,
618,3.04689025451535,,,
373,3.04729693259299,,,
