Number of points,Value of pi,X COM,Y COM,Z COM
57,3.2331615074619044,-0.0005998654766791489,-0.007067954205797477,0.0035248124385939307
58,3.1341871756008257,0.014694914718813684,0.0034546012040924177,-0.006563999817711604
59,3.1891729155236472,-0.0036288214810796296,0.002309431049239894,0.011415625281955036
60,3.2441586554464688,0.011822230524196682,-0.018187991488331265,0.005690563851458783
61,3.2991443953692903,0.009920823111084229,-0.009526182869634046,-0.020849528449821457
62,3.354130135292112,-0.002041020668394203,0.011084527047729241,-0.015201162845876063
63,3.2541560627051638,0.004533877204329686,-0.00015881015531497557,-0.008732199360398398
64,3.3066424508133117,-0.004188302167236876,0.014381270127141663,0.010074665184602802
65,3.213079758968352,-0.0026186181421423873,0.013030405425090399,0.0004014472847918748
66,3.263284130202233,0.017321048755040088,0.004718418371410428,-0.0023181655592625925
67,3.3134885014361135,0.0003960398701840067,-0.002571394236494133,0.008473403057768086
68,3.363692872669994,-0.015399373166565004,0.014623986308886564,0.007958192534741204
69,3.4138972439038744,0.002366352942462322,0.000998974324897651,0.001547004806956269
70,3.3197640478403487,0.0005101305609693638,-0.0059715076893149645,-0.007612653268050176
71,3.233161507461905,-0.011824706308265915,0.001743214310812379,0.0027697321778142317
72,3.153220700958726,0.0010797847629391982,-0.0074044183169119406,-0.008315318354064393
73,3.0792014356780046,-0.0070655301046757156,-0.007098859852133583,-0.0073077062159167365
74,3.0104692607744776,-0.0014551572063678264,0.004937806233671041,-0.005574166760998779
75,3.0517085657165937,0.00633021278315186,-0.012012138149458694,0.0045780088775861484
76,2.9862944958084094,0.005511035599080042,-0.008060712158087876,0.001004584520991656
77,2.9252413638941044,0.001282640837712088,-0.0014286593830457122,-0.004562769198457465
78,2.9637313818400792,-0.0017203064112671662,0.005823287486860453,0.016131142009687828
79,2.9053755481800527,0.0006668598033592749,0.002433709071063577,0.011032746440360619
80,2.9426239526438995,-0.014674742921585795,-0.0023905632200028567,0.01040039980605787
81,2.9798723571077463,0.0012463253702988226,0.0018745119196125746,0.005786081167277446
82,3.017120761571593,-0.008804244301340785,-0.012217781990884562,-0.0030979370963451322
83,3.05436916603544,-0.0049912655359095354,-0.0038079649468639918,0.015536064328260768
84,3.0916175704992868,0.013023301100126365,-3.771944318003124e-05,0.010092131989340024
85,3.0310889132455356,0.0056474392416371874,0.009583609758908419,0.0013494484162718584
86,2.974228659461709,0.0033695826258959604,0.006795495943399986,-0.008631049814387289
87,3.009219584867141,-0.0076552068005169465,0.0006363987160132624,0.0030054201559283895
88,3.0442105102725727,0.0009014680393204345,-0.013945181596302826,-0.006239401964748534
89,3.0792014356780046,3.385622349900803e-05,-0.0010961253342537378,-0.001784259387194583
90,3.1141923610834366,-0.002299487539379388,0.010793968504246541,0.008153263751786767
91,3.0565602486509604,0.003843741353697344,0.010632565493746533,0.001960042026575257
92,3.0022213997860545,-0.0009669260053049366,0.0009069430609499353,-0.003098186028586101
93,3.0352128437397474,0.0046570191146593845,-0.0067919015672740085,0.009499994799390897
94,3.0682042876934403,-0.010223161193944199,-0.004203016022077731,0.005648461914521982
95,3.1011957316471332,0.000686836623572534,0.004611374805825158,0.0002618026152202448
96,3.0471264207230253,-0.004018865664734968,-0.003668454307517757,-0.0037758369058322
97,2.9959797752542747,0.002546773079231579,0.004477213913906809,0.0010077814811698916
98,3.027187897913173,-0.009724732715574672,-0.001902933907630139,-0.00820102207875423
99,3.058396020572072,0.0016087983596065184,0.0011149071273153283,-0.0065444208402434
100,3.0896041432309707,0.0009466171981153009,-0.013146018225303487,-0.006463894791008557
101,3.120812265889869,-0.011268353561985299,-0.005785397349085332,-0.00604588188583936
102,3.152020388548768,-0.009456022409448981,-0.0014985543822587165,0.004895470438884231
103,3.1832285112076666,0.005871332169809097,0.002635173638599282,-0.000304395118104027
104,3.1298461961332347,-0.0024149919561016007,0.0004286758294279122,0.007908806993420128
105,3.160233052406373,0.0036791757131195767,-0.0009444091687933547,-0.006801448835445455
106,3.190619908679511,-0.0025394112348593274,0.010336700508085241,0.0032250449345102225
107,3.1384168479025814,0.0037927869514834895,0.005252999878709254,-0.0010277984150840822
108,3.16802455401487,0.00104353195998279,0.002670186398057872,0.009847167062328188
109,3.1976322601271585,-0.0058910209655208615,-0.0074436349387899635,0.0010932864523717498
110,3.227239966239447,0.006173363147253455,-0.005162283203029829,-0.002129251081944807
111,3.175426480542942,0.005351570927570747,-6.0650799601947646e-05,0.002839924373767651
112,3.1261404819535836,0.004882807621179057,0.008499020443594792,0.002419956049143876
113,3.1543039097189314,-0.004399599869270435,0.005369554373597823,-0.0016542146844397581
114,3.182467337484279,0.007009110160660666,-0.0027956639510738337,0.001079914932569414
